游戏名,中文名,别名,评分人数,tag,rank
Ever17 -the out of infinity-,时空轮回,Ever17、Ebaa Sebuntiin、エバー・セブンティーン、E17、时光的羁绊,9716,Galgame; KID; Ever17; 悬疑; 神作; 打越鋼太郎; infinity; 科幻; 打越刚太郎; AVG,5
素晴らしき日々～不連続存在～,美好的每一天 ～不连续的存在～,SubaHibi、すば日々、すばひび、素晴日,8462,Galgame; 电波; 哲学; 狂气; SCA-自; 神作; ケロＱ; 剧情流; 《逻辑哲学论》; 初心者回避,36
STEINS;GATE,命运石之门,シュタインズゲート、S;G、石头门,8387,命运石之门; 5pb; Galgame; Nitro+; 空想科学ADV; 时间旅行; 中二; 科学幻想; PC; AVG,11
穢翼のユースティア,秽翼的尤斯蒂娅,Aiyoku no Eustia、脏翅膀,7949,Galgame; AUGUST; 八月社; 脏翅膀; 穢翼のユースティア; 秽翼的尤斯蒂娅; PC; GAL; 2011; ADV,153
沙耶の唄,沙耶之歌,Saya's Song,7485,虚淵玄; Nitro+; Galgame; 猎奇; 沙耶之歌; 純愛; 肉块; 沙耶の唄; PC; 果冻,1211
千恋＊万花,千恋＊万花,Senren * Banka: A Thousand Colors of Love,7315,柚子社; Galgame; 废萌; 桐谷华; 幼刀！; 甜作; ゆずソフト; 遥そら; 小鸟居夕花; PC,4682
WHITE ALBUM2 -closing chapter-,白色相簿2 终章,ホワイトアルバム2、WHITE ALBUM2 -c.c.-、WA2 CC,7073,丸戸史明; Galgame; leaf; 三角恋; WA2; 神作; 脱宅神作; 致郁; PC; GAL,6
魔法使いの夜,魔法使之夜,Mahoyo,7025,TypeMoon; 奈須きのこ; Galgame; 魔法使いの夜; Type-Moon; 型月; PC; AVG; 蘑菇使いの坑; GAL,53
ATRI -My Dear Moments-,亚托莉 -我挚爱的时光-,,6967,Galgame; 全年龄; 枕; FrontWing; 松本文纪; ANIPLEX.EXE; 紺野アスタ; SCA-自; PC; 2020,3201
サクラノ詩 —櫻の森の上を舞う—,樱之诗 - 在樱花之森上飞舞,樱之诗,6624,Galgame; SCA-自; 枕; 樱之诗; 狗神煌; 神作; －櫻の森の上を舞う－; 艺术; 有生之年; 业界黎明,27
narcissu,水仙,ナルキッソス、ナルキ、水仙花,6452,Galgame; 水仙; 片岡とも; 催泪; narcissu; 绝望; 音乐美; PC; 全年龄; AVG,113
CLANNAD,,クラナド、CL、小镇家族,6392,key; CLANNAD; Galgame; 麻枝准; 催泪弹; 家族; 人生; 亲情; 泣きゲー; 爱情,13
WHITE ALBUM2 -introductory chapter-,白色相簿2 序章,ホワイトアルバム2、WHITE ALBUM2 -i.c.-、WA2ic,5757,Galgame; 丸户史明; leaf; 三角恋; WA2; PC; 神作; 郁系; 丸戸史明; 脱宅神作,235
Summer Pockets,夏日口袋,サマーポケッツ、サマポケ、SumPock、Samapoke、Summer Pockets(無印)、SPRB、Summer Pockets Reflection Blue,5740,key; Galgame; 麻枝准; 新島夕; 全年龄; 水月陵; 和泉つばす; 2018; 催泪; na-ga,197
サノバウィッチ,魔女的夜宴,サノバウィッチ Sabbat of the Witch、Son of a Witch: Sabbat of the Witch、Sonova Witch、Sonovawitch、Sabbath of the Witch,5740,柚子社; Galgame; 废萌; 桐谷華; ゆずソフト; 魔女的夜宴; 纯爱; 甜作; PC; 遥そら,2911
"eden* They were only two, on the planet.",,eden*、Eden,5535,minori; Galgame; eden; 世界末日; 诗音大爱; 新海城; GAL; PC; AVG; 鏡遊,600
Fate/stay night,,fsn、f/sn、フェイト／ステイナイト、命运守护夜、命運／停駐之夜,5479,Type-Moon; Galgame; Fate; 奈須きのこ; 月世界; PC; Saber; 补魔; 燃; GAL,166
レイジングループ,人狼村之谜,乐境虏逋、人狼村、愤怒循环、Raging Loop,5402,悬疑; 狼人杀; Galgame; AVG; 轮回; 推理; PC; 骚话王历险记; kemco; STEAM,276
Rewrite,,リライト、Riraito、罚抄,5214,key; 田中ロミオ; Galgame; 龙骑士07; rewrite; 麻枝准; 都乃河勇人; PC; GAL; 全年龄,59
