游戏名,vndb_id,中文名,别名,发行年份,品牌,限制级,脚本,原画,音乐,声优,难度,平均分,评分人数,rank,系列作,时长,时长分钟,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11
anemoi -アネモイ-,v47937,,アネモイ、anemoi,2026,Key,全年龄,魁、新島 夕、今科 理央、ハサマ、比野 練火、佐雪 隼、一祇,Na-Ga、きみしま 青、鳥の、餅介、永山 ゆうのん、ふむゆん、三好 奈緒,折戸 伸治、水月 陵、しょうゆ、天休 ひさし、アサノ ハヤト、大橋 柊平、内山 利彦、髙梨 泰輔,長縄 まりあ、会沢 紗弥、堀金 蒼平、千春、平塚 紗依、涼泉 桜花,easy、normal,6.9,729,4431,否,超长篇,3720,奇幻,末日,乡村,真女主,,,,,,,
哀鸿：城破十日记,v54349,哀鸿：城破十日记,The Weeping Swan: Ten Days of the City's Fall、泣き叫ぶ雁、Плач неприкаянных лебедей: Десять дней после падения города、哀鴻：城破十日記,2026,Ling Chuang Youxi,全年龄,嵇零,帕兹定律、火吉、胡桃-o-夹子、梓茵茵,林 方舟,秦 且歌、赵 爽、苗洋、桑 毓泽、陈 婷婷,normal,4.2,396,10526,是,中篇,1022,悬疑,国产,疾病,,,,,,,,
ディメンション凸ラバース!!,v60663,超次元恋人！！,次元突入恋人、次元错位恋人,2026,CRYSTALiA,R18,逢縁奇演,ぺろ、白恵 りえ、狐ノ沢、鈍色玄、蒲磁 れん,,みたか りん、北大路 ゆき、葉月 ひかり、丸茅 伊ず、しましまはかせ,easy、normal,8,1637,465,否,中篇,1675,战斗,超能力,岛屿,,,,,,,,
アマカノ3,v50215,甜蜜女友3,,2025,Azarashi Soft,R18,龍 岳来,ピロ水、塩澤 良憲、茜屋、chiki-co,Sawamurah、Anzie、鈴木 ぷよ、オトロジック,三咲 里奈、実羽 ゆうき、明羽 杏子、柚木 つばめ、星野 うちゆ,easy、normal,7,941,3877,是,长篇,1950,,,,,,,,,,,
廃村少女［弐］ ～陰り誘う秘姫の匣～,v53486,废村少女［贰］ ～幽秘蛊惑的姬之匣～,废村少女、废村少女2,2025,Escu:de,R18,御導 はるか、薄迷,蒼瀬、あおいあいう、たかしな 浅妃,橋咲 透、エスクード,佐倉 もも花、杏 花、花月 さや、黒瀬 アイル、奏 カスカ,easy、normal,7,507,3731,否,中篇,957,悬疑,夏天,民俗,乡村,,,,,,,
何度目かのはじめまして,v57252,几度相逢若初见,第几次初次见面、Nice to Meet You Again,2025,Purple software,R18,さかき 傘,石井 久雄、克、彩 雅介,山口 たこ,柳 ひとみ、寺久野 海美,easy、normal,7.6,1387,1227,否,中篇,652,悬疑,奇幻,时间旅行,魔法,,,,,,,
魔法少女ノ魔女裁判,v50283,魔法少女的魔女审判,,2025,Acacia,全年龄,喜多 南、滝口 流、海野 凛久、畑 俊行、彩月レイ、景山 千博、深浦 佑太、我孫子 ユウジ,梅まろ、すがわら おむ、ナナホシコウ、maruchi、中野 ニン、しょしょこいち、shiohana、レノン、ぐりしゃれ,SLAVE.V-V-R、近藤 佑輔、佐高 陵平,小清水 亜美、高森 奈津美、井口 裕香、山下 七海、三木谷 奈々、石井 未紗、柊 優花、東雲 はる、葵 あずさ、樹 冬華、比良坂 芽衣、石崎 紗彩、大熊 和奏,beginner、easy、normal,7.3,4397,2263,否,长篇,1878,悬疑,魔法,岛屿,犯罪,民俗,奇幻,,,,,
メモリーズオフ 双想 ～Not always true～,v47203,告别回忆 双想 ～Not always true～,告别回忆 双想 ～Not always true～、告別回憶 雙想 ～Not always true～,2025,MAGES.,全年龄,林 直孝、日暮 茶坊、祁答院 慎、小野 悠輝、秋月 月日,ささき むつみ、池田 靖宏、永井 岳人、向井 一樹,阿保 剛、磯江 俊道,加隈 亜衣、広瀬 裕也、山根 綺、Lynn、関根 瞳、藍本 あみ,normal,3.9,218,10534,是,中篇,1680,,,,,,,,,,,
バカップル・サプリメント,v52031,,,2025,Marmalade,R18,J・さいろー、吉川 芳佳、早瀬 ゆう,emily、ぎん太郎、木場 智士、まろたろ、蒼都 かりん,藤井 稿太郎,御苑生 メイ、春日 アン、月野 きいろ、星宮 リリィ,normal,5.5,251,10023,否,中篇,1594,,,,,,,,,,,
ライムライト・レモネードジャム,v56650,LimeLight Lemonade Jam,聚光灯下的青柠恋曲、逐光柠檬协奏曲、橘光柠水随想曲,2025,Yuzusoft,R18,J・さいろー、瀬尾 順、さかき 傘、天宮 りつ、かずき ふみ,こぶいち、こもわた 遙華、羽純 りお、むりりん、ろど、わいっしゅ、ほかん,Angel Note、佐々倉 マコト、Famishin、森 まもる、井ノ原 智、ユージ・ナイトー、じっぴー、ぺっぱー,くすはら ゆい、夏和小、天季 ひより、しましまはかせ、御園 紗々、虎瀬 がお,easy、normal,6.9,1738,4134,否,长篇,2656,音乐主题,,,,,,,,,,
